pool	universe	strategy	modality	accuracy	ll_gap_p5	ll_gap_mean	low_margin_frac_t50	low_margin_frac_t100	n_singlets	min_dist	kl_min	kl_mean
SAS_only__greedy_maxkl__rep1	SAS_only	greedy_maxkl	gex	0.848623286825534	-0.7704999999999995	9.646363372093024	0.9906976744186047	0.9994186046511628	6880.0	100.608154	1.7480078	1.970314
SAS_only__greedy_maxmean__rep1	SAS_only	greedy_maxmean	atac	0.9135695764909249	1.2390000000000003	27.87214758751183	0.8541694823624815	0.9731044735775105	7399.0	113.26959	2.2156625	2.6552427
SAS_only__greedy_maxmean__rep1	SAS_only	greedy_maxmean	gex	0.8446721817508335	-0.72	9.884551693925234	0.9890478971962616	0.9995619158878505	6848.0	113.26959	2.2156625	2.6552427
SAS_only__greedy_maxmin__rep1	SAS_only	greedy_maxmin	atac	0.9172737374984566	1.27	27.126902678691614	0.8594696459819626	0.9745591600484588	7429.0	114.44212	2.261772	2.62129
SAS_only__greedy_maxmin__rep1	SAS_only	greedy_maxmin	gex	0.8281269292505248	-0.79	9.581788533134773	0.9904690990320179	0.9995532390171258	6715.0	114.44212	2.261772	2.62129
SAS_only__random__rep1	SAS_only	random	atac	0.9183849858007161	1.3185000000000002	26.870457112126918	0.8632696961548804	0.9753966119924711	7438.0	104.3312	1.879773	2.029949
SAS_only__random__rep1	SAS_only	random	gex	0.8308433139893814	-0.86	9.373514998514999	0.9910899910899911	0.9997029997029997	6734.0	104.3312	1.879773	2.029949
all_3_major__ancestry_balanced__rep1	all_3_major	ancestry_balanced	atac	0.9219656747746635	1.94	29.2861395286556	0.8383770755222282	0.9710765934654526	7468.0	99.46356	1.7084607	2.3773599
all_3_major__ancestry_balanced__rep1	all_3_major	ancestry_balanced	gex	0.8422027410791456	-0.68	10.669894551845342	0.9874048037492678	0.9994141769185706	6828.0	99.46356	1.7084607	2.3773599
all_3_major__greedy_maxmean__rep1	all_3_major	greedy_maxmean	atac	0.9233238671440919	1.9	30.44600026745119	0.8315057502005884	0.9681733083712223	7478.0	109.15585	2.057648	2.8152928
all_3_major__greedy_maxmean__rep1	all_3_major	greedy_maxmean	gex	0.8588714656130386	-0.6209999999999997	11.219070268716768	0.9866360109211093	0.9992815059635005	6959.0	109.15585	2.057648	2.8152928
all_3_major__greedy_maxmin__rep1	all_3_major	greedy_maxmin	atac	0.9234473391776763	1.69	30.441756919374246	0.8239069394304052	0.9668404866960824	7479.0	113.63978	2.2301688	2.7020056
all_3_major__greedy_maxmin__rep1	all_3_major	greedy_maxmin	gex	0.8494875910606248	-0.6289999999999998	11.36877669620805	0.9848903094580851	0.9991282870841203	6883.0	113.63978	2.2301688	2.7020056
all_3_major__random__rep1	all_3_major	random	atac	0.9196197061365601	1.7735000000000003	30.21048603651987	0.8300214822771214	0.9675080558539205	7448.0	101.61693	1.7832371	2.3013866
all_3_major__random__rep1	all_3_major	random	gex	0.8210890233362144	-0.65	11.202295550210463	0.9842152736019242	0.9992483463619964	6652.0	101.61693	1.7832371	2.3013866
all_5__ancestry_balanced__rep1	all_5	ancestry_balanced	atac	0.916162489196197	1.5495000000000005	30.052684636118595	0.8334231805929919	0.9677897574123989	7420.0	108.20813	2.0220728	2.3377388
all_5__ancestry_balanced__rep1	all_5	ancestry_balanced	gex	0.8438078775157427	-0.68	11.288633903758956	0.9843498610501682	0.9988298961532837	6837.0	108.20813	2.0220728	2.3377388
all_5__greedy_maxmean__rep1	all_5	greedy_maxmean	atac	0.9214717866403259	1.8510000000000004	30.79316628701595	0.8204475412032695	0.9667693956853812	7463.0	116.47746	2.3429382	2.946183
all_5__greedy_maxmean__rep1	all_5	greedy_maxmean	gex	0.8450425978515866	-0.57	11.52787498174383	0.9837885205199357	0.9989776544472031	6847.0	116.47746	2.3429382	2.946183
all_5__greedy_maxmin__rep1	all_5	greedy_maxmin	atac	0.9244351154463514	1.7	30.92020568986243	0.8262321357018833	0.9639374916521971	7487.0	118.321594	2.4177144	2.8690188
all_5__greedy_maxmin__rep1	all_5	greedy_maxmin	gex	0.8572663291764415	-0.6659999999999991	11.447059755219582	0.9831533477321814	0.9991360691144708	6945.0	118.321594	2.4177144	2.8690188
all_5__random__rep1	all_5	random	atac	0.9223360908754167	1.31	28.216236947791163	0.8508701472556894	0.9736278447121821	7470.0	100.12492	1.7312565	2.1506064
all_5__random__rep1	all_5	random	gex	0.8459069020866774	-0.6725000000000001	10.731993873978997	0.9867269544924154	0.9992707117852976	6856.0	100.12492	1.7312565	2.1506064
