pool	acc	p_sng	universe	strategy	min_dist	mean_dist	kl_min	heldout	p_donor	ll_gap_mean	ll_gap_p5	n_snps_med	err_per_1k	modality
EUR_only__adversarial_family__rep1	0.8329423385603161	0.8359056673663415	EUR_only	adversarial_family	74.20242309570312	101.90351104736328	0.7649052739143372	False	0.9964549483013294	6.465524372230428	-1.0054999999999996	2794.5	3.545051698670587	gex
EUR_only__adversarial_family__rep2	0.8118286208173848	0.8144215335226571	EUR_only	adversarial_family	75.80896759033203	101.97260284423828	0.8036584258079529	False	0.9968162522741055	6.579862037598544	-1.02	2791.5	3.18374772589447	gex
EUR_only__adversarial_family__rep3	0.8338066427954068	0.8363995555006791	EUR_only	adversarial_family	74.65252685546875	102.5333023071289	0.782111644744873	False	0.9968999114260407	6.872688219663418	-1.0034999999999996	2800.5	3.10008857395927	gex
EUR_only__adversarial_mindist__rep1	0.8397333004074578	0.841091492776886	EUR_only	adversarial_mindist	96.70574188232422	99.81437683105467	1.262070655822754	False	0.9983852025836759	8.942588079859073	-0.73	2787.5	1.6147974163240875	gex
EUR_only__adversarial_mindist__rep2	0.7991110013581924	0.8000987776268675	EUR_only	adversarial_mindist	95.7757797241211	99.21085357666016	1.2756993770599363	False	0.9987654320987654	8.532367283950617	-0.98	2788.0	1.2345679012345512	gex
EUR_only__adversarial_mindist__rep3	0.858377577478701	0.859612297814545	EUR_only	adversarial_mindist	96.51942443847656	100.10308074951172	1.323296070098877	True	0.9985636311404769	8.987967538063776	-0.82	2797.0	1.4363688595231405	gex
EUR_only__greedy_maxkl__rep1	0.8355352512655884	0.8368934436350167	EUR_only	greedy_maxkl	109.31148529052734	112.7927017211914	1.6305500268936155	False	0.9983771023900856	8.930396872233699	-0.85	2792.5	1.6228976099144088	gex
EUR_only__greedy_maxkl__rep2	0.8282504012841091	0.8287442894184467	EUR_only	greedy_maxkl	109.9408950805664	113.56157684326172	1.6378905773162842	False	0.9994040524433849	9.113098927294399	-0.91	2790.0	0.5959475566150729	gex
EUR_only__greedy_maxkl__rep3	0.8397333004074578	0.8405976046425485	EUR_only	greedy_maxkl	110.19074249267578	113.52216339111328	1.605998396873474	False	0.9989717978848414	8.963061104582843	-0.9364999999999998	2792.0	1.0282021151586385	gex
EUR_only__greedy_maxmean__rep1	0.8402271885417952	0.8412149648104704	EUR_only	greedy_maxmean	108.64622	114.11996	2.0384786	False	0.9988257742551006	9.439012182592103	-0.88	2785.0	1.1742257448994486	gex
EUR_only__greedy_maxmean__rep2	0.8330658105939005	0.8343005309297444	EUR_only	greedy_maxmean	106.0943	113.955765	1.9438425	True	0.998520053278082	9.449615213852303	-0.8019999999999999	2792.0	1.4799467219179796	gex
EUR_only__greedy_maxmean__rep3	0.8498580071613779	0.8504753673293	EUR_only	greedy_maxmean	108.04166	113.97461	2.0158558	False	0.999274099883856	9.197473867595818	-0.8164999999999998	2778.0	0.7259001161440404	gex
EUR_only__greedy_maxmin__rep1	0.8436844054821583	0.8447956537844178	EUR_only	greedy_maxmin	109.311485	112.7927	2.0635195	False	0.9986845951476176	9.330901783104355	-0.8194999999999999	2798.5	1.3154048523823514	gex
EUR_only__greedy_maxmin__rep2	0.8371403877021855	0.8380046919372762	EUR_only	greedy_maxmin	109.940895	113.56158	2.0873513	True	0.9989686164726683	9.208852217474584	-0.81	2792.0	1.0313835273316752	gex
EUR_only__greedy_maxmin__rep3	0.8482528707247808	0.8497345351277935	EUR_only	greedy_maxmin	110.19074	113.52216	2.0968492	False	0.998256320836966	9.052737576285963	-0.84	2791.5	1.7436791630339732	gex
EUR_only__random__rep1	0.8413384368440548	0.841708852944808	EUR_only	random	101.336075	106.89171	1.7733938	False	0.9995599237201115	9.15350154026698	-0.84	2794.0	0.4400762798885127	gex
EUR_only__random__rep2	0.8424496851463144	0.8434374614149895	EUR_only	random	100.68764	105.131065	1.7507707	False	0.9988288683940858	9.142191480017567	-0.77	2790.0	1.1711316059141996	gex
EUR_only__random__rep3	0.8544264724040005	0.8554142486726757	EUR_only	random	98.45303	104.22318	1.6739218	False	0.9988452655889145	8.861649826789838	-0.83	2809.0	1.1547344110854896	gex
SAS_only__adversarial_mindist__rep1	0.8371403877021855	0.8378812199036918	SAS_only	adversarial_mindist	99.09591674804688	102.48577117919922	1.346333146095276	True	0.9991158267020336	9.598682581786031	-0.74	2809.0	0.8841732979664174	gex
SAS_only__adversarial_mindist__rep2	0.842943573280652	0.8438078775157427	SAS_only	adversarial_mindist	99.48869323730467	101.62850189208984	1.3709405660629272	False	0.9989757096868598	9.158558677202224	-0.8234999999999996	2790.0	1.0242903131402192	gex
