pool	universe	strategy	modality	bottleneck_donor	btl_n_cells	btl_ll_gap	min_dist	mean_dist	kl_min	kl_mean
EUR_only__greedy_maxkl__rep2	EUR_only	greedy_maxkl	gex	HG00101	846	8.200756501182033	109.9408950805664	113.56157684326172	1.6378905773162842	1.780522346496582
EUR_only__greedy_maxkl__rep3	EUR_only	greedy_maxkl	atac	HG00100	923	23.3814301191766	110.19074249267578	113.52216339111328	1.605998396873474	1.752708077430725
EUR_only__greedy_maxkl__rep3	EUR_only	greedy_maxkl	gex	HG00101	860	7.659093023255814	110.19074249267578	113.52216339111328	1.605998396873474	1.752708077430725
EUR_only__greedy_maxmean__rep1	EUR_only	greedy_maxmean	atac	HG00106	899	24.507975528364852	108.64622	114.11996	2.0384786	2.250664
EUR_only__greedy_maxmean__rep1	EUR_only	greedy_maxmean	gex	HG00108	886	8.697088036117382	108.64622	114.11996	2.0384786	2.250664
EUR_only__greedy_maxmean__rep3	EUR_only	greedy_maxmean	atac	HG01781	931	24.764822771213748	108.04166	113.97461	2.0158558	2.245107
EUR_only__greedy_maxmean__rep3	EUR_only	greedy_maxmean	gex	HG01781	879	8.401296928327644	108.04166	113.97461	2.0158558	2.245107
EUR_only__greedy_maxmin__rep1	EUR_only	greedy_maxmin	atac	HG00108	930	25.04220430107527	109.311485	112.7927	2.0635195	2.1981466
EUR_only__greedy_maxmin__rep1	EUR_only	greedy_maxmin	gex	HG00282	866	9.022609699769053	109.311485	112.7927	2.0635195	2.1981466
EUR_only__greedy_maxmin__rep3	EUR_only	greedy_maxmin	atac	HG02233	929	24.024058127018296	110.19074	113.52216	2.0968492	2.2269123
EUR_only__greedy_maxmin__rep3	EUR_only	greedy_maxmin	gex	NA20792	868	8.344078341013825	110.19074	113.52216	2.0968492	2.2269123
EUR_only__random__rep1	EUR_only	random	atac	NA20803	900	23.777955555555554	101.336075	106.89171	1.7733938	1.9739898
EUR_only__random__rep1	EUR_only	random	gex	HG01781	879	8.591444823663254	101.336075	106.89171	1.7733938	1.9739898
EUR_only__random__rep2	EUR_only	random	atac	NA20807	902	23.373614190687363	100.68764	105.131065	1.7507707	1.9097849
EUR_only__random__rep2	EUR_only	random	gex	NA20753	842	8.72685273159145	100.68764	105.131065	1.7507707	1.9097849
EUR_only__random__rep3	EUR_only	random	atac	HG00331	949	22.489715489989464	98.45303	104.22318	1.6739218	1.8773739
EUR_only__random__rep3	EUR_only	random	gex	HG01785	901	7.9579911209766925	98.45303	104.22318	1.6739218	1.8773739
